word,definition,pos
abaichit shalit kunchi,peddle,(v)
abaiyachi,along,(adv)
abani,barbecue,(n)
abanupli,stile,(n)
abanuplichi,respite,(v)
abasha tok,swath,(n)
abashafa,gash,(n)
abecha,spout,(n)
abecheli,spigot,(n)
abeka,ailment,(n)
abeka aiasha,sanatorium,(n)
abeka aiiasha,hospital,(n)
abeka apisachi,nurse,(n)
abeka haleli,contagious,(adj)
abeka haleli,contagion,(n)
abeka iksho,well,(adj)
abeka ilhkoli,hysteria,(n)
abeka iti haleli,virus,(n)
abeka okpulo,diabetes,(n)
abeka shali,ambulance,(n)
abekachi,nauseate,(v)
abekama,ail,(v)
abekamo,ill,(adj)
abepoli,stow,(v)
abetiplichi,press,(v)
abetuplichi,stamp,(v)
abilia,perpetual,(adj)
abinili aboa,parlor,(n)
abinili chuna,wheelchair,(n)
aboa,bungalow,(n)
aboa achaka,wing,(n)
aboa achukoshkomo,playhouse,(n)
aboa afoha,hotel,(n)
aboa aiimpa,cafe,(n)
aboa ankaka,indoors,(adv)
aboa anokaka holisso lapochi,paperhanger,(n)
aboa anusi,chamber,(n)
aboa apisachi,serum,(n)
aboa chaha,tower,(n)
aboa chofutli,janitor,(n)
aboa holitompa,shrine,(n)
aboa holitopa,mansion,(n)
aboa huknipchowa,mural,(n)
aboa isht holmo,shingle,(n)
aboa isht oktunni,spire,(n)
aboa ishto,edifice,(n)
aboa iskunno,shack,(n)
aboa it titukla,hall,(n)
aboa itabana ikbi,build a log house,(v)
aboa itakushkowa,ward,(n)
aboa ittukla,vestibule,(n)
aboa kullo,jail,(n)
aboa kullo apisachi,warden,(n)
aboa kullo foki,jail,(v)
aboa lowachi,arson,(n)
aboa nan asha,furniture,(n)
aboa uba,garret,(n)
aboa ukni,senate,(n)
aboahoshotika,piazza,(n)
aboakafoli,chink,(n)
abokoli,thicket,(n)
aboshi,closet,(n)
abulukshi,youngest,(adj)
abunna iksho,ultra,(adj)
achahachi,entertain,(v)
achaka,extension,(n)
achakali,continuation,(n)
achamapa,echo,(n)
achamupli,charm,(n)
achapa,against,(prep)
achapa iksho,unrivaled,(adj)
achefa,launder,(v)
acheleta,zealous,(adj)
achi,say,(v)
achnachi,persevere,(v)
achokolbi,fond,(adj)
acholi,sew,(v)
achufa,member,(n)
achukilissa,deserted place,(n)
achukilissa salami,unpleasant,(adj)
achukma,good,(adj)
achukmalichi,refine,(v)
achukmilhka,kneel,(v)
achukobi,adhere,(v)
achukoshmo aboa,pavilion,(n)
achukwa,entry,(n)
achukwa ummona,narthex,(n)
achumpa,borough,(n)
achumpa aboa lawa,city,(n)
achumupli,spell,(n)
afalamochi,gravitate,(v)
afalamowa,sway,(v)
afama,charge,(v)
afanachi,audit,(n)
afanachit asilha,inquest,(n)
afanchi,audit,(n)
afanichi,audit,(n)
afanichit aiiksachi,overhaul,(v)
afapa,gape,(v)
afehna,emergency,(n)
afehnachi,necessitate,(v)
afelema,worse,(adj)
afoha,lounge,(n)
afoha aboa,hostel,(n)
afohki,goal,(n)
afoka,haven,(n)
afolobli,envelop,(v)
afolomoa,undulate,(v)
afolopa,come around,(v)
afolopli,siege,(n)
afolopowa,circle,(v)
afolotowa,circuit,(n)
afolowa,mill,(n)
afummi,year,(n)
afummi,annual,(adj)
afummi himona,new year,(n)
afummi holhtina,age,(n)
afummi pokoli,decade,(n)
afummi talhepa chufa,century,(n)
afunalichi,closely,(adv)
aha ahni,beware,(v)
ahalalichi,lead,(v)
ahayaka chukma,vantage,(n)
aheka,owe,(v)
