meaning,concepticon,word
you, THOU,iSno7
we, WE,poSno7
this, THIS,yapa
that, THAT,yama
who, WHO,kata
what, WHAT,nanta
not, NOT,kiyo
all, ALL,moma
many, MANY,lawa
one, ONE,Cafa
two, TWO,toklo
big, BIG,iSto
long, LONG,fala
small, SMALL,iskanosi
woman, WOMAN,iho
man, MAN,hatak nakni7
person, PERSON,hatak
fish, FISH,nani7
bird, BIRD,foSi7
dog, DOG,ofi7
louse, LOUSE,isap
tree, TREE,iti7
seed, SEED,nihi7
root, ROOT,haksiS
skin, SKIN,hakSop
flesh, FLESH,nipi7
blood, BLOOD,isiS
bone, BONE,foni7
grease, FAT (ORGANIC SUBSTANCE),niha
egg, EGG,akankoSi7
horn, HORN (ANATOMY),lapiS
tail, TAIL,hasimbiS
hair, HAIR,pa*Si7
hair, HAIR,hiSi7
head, HEAD,iSkobo7
ear, EAR,haksibis
eye, EYE,iSkin
nose, NOSE,ibiCala7
mouth, MOUTH,iti
tooth, TOOTH,noti7
tongue, TONGUE,iso*laS
claw, CLAW,iyakCoS
foot, FOOT,iyi7
knee, KNEE,iyintoLka7
hand, HAND,ilbak
belly, BELLY,itakoba7
neck, NECK,nokh~istap
breast, BREAST,ipi*Sik
heart, HEART,Co*kaS
liver, LIVER,salakh~a
drink, DRINK,iSko
eat, EAT,impa
bite, BITE,kisili
see, SEE,pisa
hear, HEAR,haNlo
know, KNOW,ith~ana
sleep, SLEEP,nosi
die, DIE,ili
kill, KILL,abi
swim, SWIM,yopi
fly, FLY (MOVE THROUGH AIR),waka
walk, WALK,no*wa
come, COME,minti
lie, LIE (REST),tiwa
sit, SIT,binili
stand, STAND,hikiya
give, GIVE,ima
say, SAY,aCi
sun, SUN,haSi7
star, STAR,foSik
water, WATER,oka7
rain, RAINING OR RAIN,omba
stone, STONE,tali7
sand, SAND,Sinok
earth, EARTH (SOIL),yakni7
cloud, CLOUD,hoSonti
smoke, SMOKE (EXHAUST),SoboLi
fire, FIRE,lowak
ash, ASH,hotok
burn, BURN,lowa
path, PATH,hina7
mountain, MOUNTAIN,onCaba
red, RED,homa
green, GREEN,okCamali
yellow, YELLOW,lakna
white, WHITE,tobi
black, BLACK,losa
night, NIGHT,okLili7
hot, HOT,laSpa
cold, COLD,kapasa
full, FULL,kaya
new, NEW,himita
good, GOOD,Cokma
round, ROUND,Libokta
dry, DRY,Sila
name, NAME,hoLCifo
