termTitle,part-of-language,partOfDefinition
,,
a?,(interj),yes
abaiya,(v),to be along the side of (something)
abaiya,(n),"the side (of a creek, road, etc.)"
abaiy?chi,(v),"to go along the side (of a creek, road, etc.)"
abanali,(v),to carry on the shoulder
abani,(v),"to cook over fire, barbecue, smoke (food), cure, dry (a ham, etc.)"
abeha,(v),"(two or more) to enter, go in"
abeka,(v),to be sick
abeka,(adj),"sick, ill"
abeka aiasha,(n),hospital
abeka apes?chi,(n),nurse
abeka shahli,(v),"to be sickly, often sick"
abeka shali,(n),"someone carrying sickness or the sick: a carrier (of a disease), an ambulance"
abekomo,(v),"to be sickly, sick for a long period"
abekomo,(adj),"sickly, sick for a long period"
abek?chi,(v),to make (someone) sick
abih chakkali,(num),nineteen
abihli,(v),"to put (bean poles, etc.) in the ground"
abina,(n),a camp
abinachi,(v),to camp at (a place)
abinili,(n),chair
abinili awinak?chi,(n),rocking chair
aboha,(n),room
aboha ahoponi,(n),kitchen
aboha aiasha,(n),living room
aboha aiimpa,(n),dining room
aboha anokaka kula,(n),"cellar, basement"
aboha anusi,(n),bedroom
aboha ashobohli,(n),smokehouse
aboha ayupi,(n),bathroom
aboha holihta,(n),wall (of a room)
aboha k?llo,(n),jail
aboha nan aiachefa,(n),"wash house, laundromat"
aboha pakna,(n),ceiling
aboha pat?lhpo,(n),"flooring (including carpet, etc.)"
abohli,(n),"thicket, woodlands"
abohushi,(n),"a small room: closet, restroom, bathroom, outhouse"
aboiya,(n),a ladder
abonota,(v),"to wrap oneself in (a blanket, etc.)"
abonulli,(v),"to wrap (something) around, roll up in"
abunnonta,(v),"to be wrapped in, entwined (of wrestlers, a vine, etc.), hanging onto (someone or something)"
ab?chi,(v),to practice
ab?nna,(v),"to have need of, be in need of"
ab?nni,(v),"to be criss-crossed (of poles, etc.)"
ab?ska,(n),"place where one gambles: casino, etc. (new word)"
achafoa,(adj),"a few, a scattering, rare"
acha?ka,(v),"to be attached (of a room, etc.), succeeding"
achak?li,(v),"to add on to, connect, splice, lengthen"
achak?lichi,(v),"to continue, advance"
achefa,(v),to wash (something)
achi,(v),to say
achinli,,"apparently, probably, seemingly"
