tribe,language_classification,langauge_primary_name,language__alternate_names,language_dialect_varieties,language_comments,"locations_places_comments
",resource_title,resource_url,resource_url2,resource_url3,resource_institution,resource_publisher,citation,orthography_comment,vitality_public_comment,,,,
Alabama–Quassarte Tribal Town,Muskogean,Alabama; Koasati (Coushatta),,,,,Native Languages of the Americas website,https://www.native-languages.org/definitions/alabama-quassarte.htm,https://koasati.azurewebsites.net/,,,,,,"The Alabama language is still spoken by a small number of Alabama-Coushatta Tribe of Texas members but is critically endangered -- Most members of the Alabama–Quassarte Tribal Town now primarily speak English, though they work with related tribal communities to preserve cultural knowledge and language",,,,
Apache Tribe Of Oklahoma,Athabaskan ,Western Apache,,,,,Whiteriver Unified School District #20,https://www.wusd.us/page/apache.dictionary,,,,,,,"Apache languages belong to the Athabaskan branch, which is related to Navajo -- These languages are tonal, meaning pitch affects meaning -- The Western Apache language has the highest number of speakers.",,,,
Fort Sill Apache Tribe,Athabaskan ,Chiricahua Apache,,,,,Whiteriver Unified School District #20,https://www.wusd.us/page/apache.dictionary,,,,,,,"Chiricahua Apache is critically endangered with very few fluent speakers remaining -- The Fort Sill Apache Tribe primarily speaks English today, but there are efforts to revitalize the Chiricahua language.",,,,
Arapaho,Algic; Algonquian; Arapahoan,Arapaho,Arrapahoe; Northern Arapaho; Arapaho-Atsina;,Gros Ventre; Besawunena; Ha?anahawunena; Arapaho; Nawathinehena,,"Wind River Reservation, Wyoming; also associated with Cheyenne in western Oklahoma.-- -- Wyoming; Wind River Reservation, Wyoming; also associated with Cheyenne in western Oklahoma.","Ethnologue: Languages of the World, 16th Edition (2009)",http://www.ethnologue.com/,,,,SIL International,"Lewis, M. Paul (ed.). 2009. Ethnologue: Languages of the World, 16 edn. http://www.ethnologue.com/home.asp.  (15 February, 2011.)",,Data for the number of native speakers is from the 1990 census. The number of speakers is decreasing. Data for the ethnic population is from the 2000 census.,,,,
Arapaho,Algic; Algonquian; Arapahoan,Arapaho,Arrapahoe; Northern Arapaho; Arapaho-Atsina;,Gros Ventre; Besawunena; Ha?anahawunena; Arapaho; Nawathinehena,,,Atlas of the World’s Languages in Danger,http://www.unesco.org/culture/en/endangeredlanguages/atlas,,,,UNESCO Publishing,"Moseley, Christopher (ed.). 2010. Atlas of the World’s Languages in Danger, 3rd edn. http://www.unesco.org/culture/en/endangeredlanguages/atlas.  (03 June, 2011.)",,,,,,
Arapaho,Algic; Algonquian; Arapahoan,Arapaho,Arrapahoe; Northern Arapaho; Arapaho-Atsina;,Gros Ventre; Besawunena; Ha?anahawunena; Arapaho; Nawathinehena,,,World Oral Literature Project,http://www.oralliterature.org,,,,,"""World Oral Literature Project.""  Online: http://www.oralliterature.org.",,,,,,
Arapaho,Algic; Algonquian; Arapahoan,Arapaho,Arrapahoe; Northern Arapaho; Arapaho-Atsina;,Gros Ventre; Besawunena; Ha?anahawunena; Arapaho; Nawathinehena,,Central Wyoming (Wind River Reservation); west-central Oklahoma,Encyclopedia of the World's Endangered Languages,,,,,Routledge,"Moseley, Christopher. 2007. Encyclopedia of the World's Endangered Languages, 1 edn. Abingdon: Routledge. ISBN 070071197X",,,,,,
Arapaho,Algic; Algonquian; Arapahoan,Arapaho,Arrapahoe; Northern Arapaho; Arapaho-Atsina;,Gros Ventre; Besawunena; Ha?anahawunena; Arapaho; Nawathinehena,,Wyoming,Atlas of the World’s Languages in Danger of Disappearing,,,,,UNESCO,"Christopher Rogers, Naomi Palosaari and Lyle Campbell. 2010. ""Endangered Languages of the United States."" In Atlas of the World’s Languages in Danger of Disappearing,  edited by Christopher Moseley. 108-130. UNESCO.",,,,,,
Arapaho,Algic; Algonquian; Arapahoan,Arapaho,Arrapahoe; Northern Arapaho; Arapaho-Atsina;,Gros Ventre; Besawunena; Ha?anahawunena; Arapaho; Nawathinehena,,"Wyoming; Oklahoma
Northern Arapaho (Arapahoe) of the Wind River Reservation in central Wyoming and of the Southern Arapaho members of the Cheyenne-Arapaho Tribe in west central Oklahoma.",Atlas of the World's Languages,,,,,Routledge,"Victor Golla, Ives Goddard, Lyle Campbell, Marianne Mithun and Mauricio Mixco. 2008. ""North America."" In Atlas of the World's Languages,  edited by Chris Moseley and Ron Asher. 7-41. Routledge.",,"Approximately 1,000 of the 5,953 Northern Arapaho tribal members are first-language speakers, most over 50; there are no first-language speakers of Arapaho in Oklahoma.-- -- Most speakers are over 50.",,,,
Arapaho,Algic; Algonquian; Arapahoan,Arapaho,Arrapahoe; Northern Arapaho; Arapaho-Atsina;,Gros Ventre; Besawunena; Ha?anahawunena; Arapaho; Nawathinehena,,"Wyoming; Oklahoma
Wyoming: Wind River Reservation; also associated with Cheyenne in western Oklahoma.","Ethnologue: Languages of the World, 16th Edition (2009)",http://www.ethnologue.com,,,,SIL International,"Lewis, M. Paul, Gary F. Simons, and Charles D. Fennig (eds.). 2016. Ethnologue: Languages of the World, Nineteenth edition (2016). Dallas, Texas: SIL International. Online version: http://www.ethnologue.com.",,"
1,000 (Golla 2007), decreasing. Ethnic population: 5,940 (Golla 2007).-- -- Mostly 50 and older.",,,,
